 ID,Name,Lat_NSS,Lon_NSS,Region,Timezone
Mand_NSS_001,Mandurah,-32.508728,115.72912,WA,UTC+08:00
Narra_NSS_001,Narrabeen,-33.71775,151.32191,NSW,UTC+11:00
