ID,Name,Latitude,Longitude,Region,Timezone,offshoreWave_lat,offshoreWave_lon
NSW,New South Wales,-33.830097,151.275633,NSW,UTC+11:00,-33.76273,151.40324
WA,Western Australia,-31.942475,115.716919,WA,UTC+8:00,,
