IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CGGA,GASPE AIRPORT,73116,7052603,48.783333,-64.483333,40.000,MSC,CA,AUTO,Quebec
CGKM,SCHEFFERVILLE COTE-NORD,73075,7117824,54.802700,-66.804533,517.200,MSC,CA,AUTO,Quebec
CGMG,MATAGAMI,71821,7094637,49.757833,-77.793222,280.000,MSC,CA,AUTO,Quebec
CGRQ,TROIS RIVIERES,71729,7018563,46.366700,-72.683300,61.200,MSC,CA,AUTO,Quebec
CGVO,VAL-D'OR,71725,7098603,48.056500,-77.786600,338.880,MSC,CA,AUTO,Quebec
CMFJ,KUUJJUARAPIK,71615,7103539,55.369516,-77.629167,30.000,MSC,CA,AUTO,Quebec
CMFM,FORET MONTMORENCY RCS,71212,7042395,47.322600,-71.148300,672.830,MSC,CA,AUTO,Quebec
CMFX,SALLUIT,71641,7117800,62.179450,-75.670300,228.000,MSC,CA,AUTO,Quebec
CMGB,GRANBY,,7022802,45.372800,-72.773900,87.000,MSC,CA,AUTO,Quebec
CMGZ,GRANDES BERGERONNES,71942,7042845,48.274400,-69.543600,59.000,MSC,CA,AUTO,Quebec
CMIN,PARC NATIONAL DES PINGUALUIT,71976,7115800,61.312833,-73.668406,503.000,MSC,CA,AUTO,Quebec
CMJI,MONT-JOLI,71658,7055122,48.605277,-68.195556,54.500,MSC,CA,AUTO,Quebec
CMJK,INUKJUAK,71907,710S005,58.467300,-78.078700,23.100,MSC,CA,AUTO,Quebec
CMJN,NEW RICHMOND EAST,71659,7055440,48.156733,-65.841919,2.000,MSC,CA,AUTO,Quebec
CMLU,LEMIEUX,71616,701Q009,46.303800,-72.060500,96.700,MSC,CA,AUTO,Quebec
CMMY,SAINT-MICHEL-DES-SAINTS,71737,7077571,46.815583,-74.094028,429.900,MSC,CA,AUTO,Quebec
CMNT,NATASHQUAN AIRPORT,71813,7045401,50.190100,-61.794200,10.700,MSC,CA,AUTO,Quebec
CMRF,RIVIERE AUX FEUILLES,71743,7116505,57.909722,-72.976000,171.400,MSC,CA,AUTO,Quebec
CMSI,SAINT-GERMAIN-DE-GRANTHAM,71967,7027470,45.825300,-72.537000,86.000,MSC,CA,AUTO,Quebec
CMTH,THETFORD MINES RCS,71494,7028442,46.049200,-71.266200,430.000,MSC,CA,AUTO,Quebec
CMUS,NANTES,73115,7023681,45.606366,-70.932736,477.000,MSC,CA,AUTO,Quebec
CNBB,KUGAARUK CLIMATE,71407,2303094,68.537461,-89.788886,17.600,MSC,CA,AUTO,Nunavut
CNBI,BATHURST INLET,71874,2300551,66.837600,-108.014500,6.000,MSC,CA,AUTO,Nunavut
CNCD,CAPE DORSET CLIMATE,71575,2400636,64.230800,-76.530400,51.500,MSC,CA,AUTO,Nunavut
CNCN,CLINTON,71474,1161663,51.144555,-121.504555,1059.000,MSC,CA,AUTO,British Columbia
CNCO,KUGLUKTUK CLIMATE,71332,2300904,67.817200,-115.135300,24.400,MSC,CA,AUTO,Nunavut
CNDT,POND INLET CLIMATE,71576,2403204,72.693300,-77.957500,66.164,MSC,CA,AUTO,Nunavut
CNEK,EUREKA CLIMATE,71613,2401199,79.989200,-85.933900,10.000,MSC,CA,AUTO,Nunavut
CNES,EDMONTON SOUTH CAMPUS,,3012220,53.490014,-113.537778,670.000,GovAB,CA,AUTO,Alberta
CNFR,FORT ROSS,71629,2402051,72.017900,-94.197800,11.500,MSC,CA,AUTO,Nunavut
CNGC,GRISE FIORD CLIMATE,71971,2402351,76.422800,-82.902200,46.000,MSC,CA,AUTO,Nunavut
CNGH,GATESHEAD ISLAND,71141,2402332,70.632700,-100.267300,21.500,MSC,CA,AUTO,Nunavut
CNLB,LINDBERGH AGDM,71567,3013921,53.942778,-110.578889,630.000,GovAB,CA,AUTO,Alberta
CNLD,LEEDALE AGDM,71565,3023740,52.553056,-114.472500,947.000,GovAB,CA,AUTO,Alberta
CNNR,NIER AGDM,71495,3034795,51.369444,-114.099167,1145.000,GovAB,CA,AUTO,Alberta
CNPK,PEKISKO,71669,3055119,50.368500,-114.415400,1415.000,MSC,CA,AUTO,Alberta
CNPL,CAPE LIVERPOOL,,2400675,73.665700,-78.293600,2.000,MSC,CA,AUTO,Nunavut
CNPV,CAPE PROVIDENCE,,2501419,74.456600,-112.160600,6.000,MSC,CA,AUTO,Northwest Territories
CNSG,SVARTEVAEG,71872,2403833,81.160800,-91.816600,21.500,MSC,CA,AUTO,Nunavut
CNSQ,SANIKILUAQ,71643,2303668,56.537400,-79.260500,34.000,MSC,CA,AUTO,Nunavut
CNTK,TOMAHAWK AGDM,71566,3016505,53.439444,-114.718333,814.000,GovAB,CA,AUTO,Alberta
CNTL,TOMPKINS LANDING AGCM,,3076530,58.020578,-116.847797,343.000,GovAB,CA,AUTO,Alberta
CNVQ,NORMAN WELLS CLIMATE,71480,2202810,65.287500,-126.753400,93.600,MSC,CA,AUTO,Northwest Territories
CNZS,CORAL HARBOUR RCS,71134,2301010,64.187875,-83.346808,57.000,MSC,CA,AUTO,Nunavut
COGE,GERALDTON AIRPORT,73071,6042719,49.780910,-86.932370,349.970,MSC,CA,AUTO,Ontario
COKN,KING CITY NORTH,73074,6154150,43.963522,-79.574111,362.000,MSC,CA,AUTO,Ontario
COSL,SIOUX LOOKOUT AIRPORT,73017,6037800,50.123122,-91.904722,387.500,MSC,CA,AUTO,Ontario
COSM,SAULT STE. MARIE AIRPORT,73070,6057593,46.478055,-84.516667,189.000,MSC,CA,AUTO,Ontario
COTL,BIG TROUT LAKE,71208,6010740,53.816400,-89.891600,219.500,MSC,CA,AUTO,Ontario
COTR,TERRACE BAY AIRPORT,73018,6048232,48.815316,-87.091756,288.900,MSC,CA,AUTO,Ontario
CPAA,ALLIANCE AGCM,71006,3010162,52.315280,-111.778613,737.000,GovAB,CA,AUTO,Alberta
CPAC,ACADIA VALLEY,71048,3020035,51.066136,-110.316969,735.000,GovAB,CA,AUTO,Alberta
CPAF,ATHABASCA AGCM,71271,3060330,54.634723,-113.381947,635.000,GovAB,CA,AUTO,Alberta
CPAH,ALBERT HALL AGCM,71005,3010060,53.113334,-111.181113,658.000,GovAB,CA,AUTO,Alberta
CPAT,ATLEE AGCM,71986,3020405,50.810019,-111.005564,795.000,GovAB,CA,AUTO,Alberta
CPAV,ARDENVILLE,,3030200,49.527511,-113.433914,1126.000,GovAB,CA,AUTO,Alberta
CPAZ,AZURE,71981,3030450,50.511944,-114.013061,1143.000,GovAB,CA,AUTO,Alberta
CPBA,BARONS AGCM,71007,3030529,50.025836,-113.224447,967.000,GovAB,CA,AUTO,Alberta
CPBB,BUSBY AGCM,71284,3010979,53.930835,-113.921667,714.000,GovAB,CA,AUTO,Alberta
CPBC,BALLATER AGCM,,3070495,55.576944,-117.235556,560.000,GovAB,CA,AUTO,Alberta
CPBD,BLACK DIAMOND,71982,3030680,50.706669,-114.151667,1156.000,GovAB,CA,AUTO,Alberta
CPBE,BEISEKER AGCM,71009,3020610,51.378613,-113.357223,896.000,GovAB,CA,AUTO,Alberta
CPBH,BULLHORN HEADWATERS,71016,3050965,49.152500,-113.550556,1326.000,GovAB,CA,AUTO,Alberta
CPBL,BELLSHILL AGCM,71010,3010650,52.582224,-111.465280,721.000,GovAB,CA,AUTO,Alberta
CPBM,BEAVER MINES,71304,3050602,49.467900,-114.175000,1257.000,MSC,CA,AUTO,Alberta
CPBN,BROWNVALE AGCM,71283,3070800,56.117778,-117.886391,748.000,GovAB,CA,AUTO,Alberta
CPBO,BRANDON RCS,71136,5010490,49.903444,-99.945586,408.000,MSC,CA,AUTO,Manitoba
CPBR,BULLHORN COULEE RESERVOIR,71839,3050960,49.295278,-113.358611,1115.000,GovAB,CA,AUTO,Alberta
CPBS,BASSANO AGCM,71008,3030540,50.892501,-112.465003,807.000,GovAB,CA,AUTO,Alberta
CPBT,BLOOD TRIBE AGDM,71517,3030720,49.566667,-113.050000,980.000,GovAB,CA,AUTO,Alberta
CPBU,BULL SPRINGS AGCM,,3030879,50.339470,-110.484100,780.000,GovAB,CA,AUTO,Alberta
CPBV,BIG VALLEY AGCM,71011,3020679,51.997779,-112.802502,870.000,GovAB,CA,AUTO,Alberta
CPCA,CADOGAN AGCM,71012,3010992,52.334169,-110.510001,690.000,GovAB,CA,AUTO,Alberta
CPCC,CRESTOMERE AGCM,71380,3011892,52.732779,-113.902780,855.000,GovAB,CA,AUTO,Alberta
CPCE,CEREAL AGCM,,3021463,51.275800,-110.824400,753.000,GovAB,CA,AUTO,Alberta
CPCF,CARROT CREEK AGCM,,3061350,53.623064,-115.893631,861.000,GovAB,CA,AUTO,Alberta
CPCH,FORT CHIPEWYAN RCS,71056,3072659,58.767222,-111.117222,239.000,MSC,CA,AUTO,Alberta
CPCI,CALGARY INT'L CS,71393,3031094,51.109444,-114.000277,1082.000,MSC,CA,AUTO,Alberta
CPCK,PINCHER CREEK CLIMATE,71736,3035208,49.522200,-114.005000,1190.000,MSC,CA,AUTO,Alberta
