IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CPUN,PILGER,71655,4056121,52.416700,-105.150000,552.000,MSC,CA,AUTO,Saskatchewan
CPVA,VIKING AGCM,71888,3016841,53.182222,-111.731667,711.000,GovAB,CA,AUTO,Alberta
CPVI,VILNA AGCM,71761,3016852,54.130000,-111.921390,645.000,GovAB,CA,AUTO,Alberta
CPVR,VERGER,,3026800,50.895021,-111.955006,723.000,GovAB,CA,AUTO,Alberta
CPWB,WIMBORNE AGCM,71904,3027582,51.935836,-113.590834,940.000,GovAB,CA,AUTO,Alberta
CPWT,WETASKIWIN AGCM,71895,3017282,52.980280,-113.444168,774.000,GovAB,CA,AUTO,Alberta
CPWX,WASECA RCS,71663,4048521,53.131600,-109.405200,638.000,MSC,CA,AUTO,Saskatchewan
CPXB,BUFFALO AGCM,,3020950,50.798100,-110.685580,723.000,GovAB,CA,AUTO,Alberta
CPXC,BLACKIE AGCM,,3030690,50.545579,-113.640278,1019.000,GovAB,CA,AUTO,Alberta
CPXH,HAND HILLS AGCM,,3022990,51.452500,-112.135200,941.000,GovAB,CA,AUTO,Alberta
CPXL,BOW ISLAND IRRIGATION AGDM,71519,3030772,49.866667,-111.383333,799.000,GovAB,CA,AUTO,Alberta
CPXS,SHEERNESS AGCM,,3025890,51.462780,-111.646400,852.000,GovAB,CA,AUTO,Alberta
CPXX,RALSTON AGCM,,3035362,50.099100,-111.213080,770.000,GovAB,CA,AUTO,Alberta
CPXZ,LETHBRIDGE AGTECH AGCM,,3033877,49.647222,-112.762500,916.000,GovAB,CA,AUTO,Alberta
CPYQ,CHURCHILL CLIMATE,71696,5060608,58.739305,-94.075139,30.000,MSC,CA,AUTO,Manitoba
CPYS,YELLOW GRASS NORTH,73001,4019041,49.820560,-104.181000,578.000,MSC,CA,AUTO,Saskatchewan
CPYT,YOUNGSTOWN AGCM,,3017705,51.490557,-111.223613,800.000,GovAB,CA,AUTO,Alberta
CPZC,CAMPSIE AUTO,71636,3061201,54.130600,-114.677600,648.000,MSC,CA,AUTO,Alberta
CPZH,SLAVE LAKE RCS,71693,3065997,55.293100,-114.777200,584.000,MSC,CA,AUTO,Alberta
CPZK,KIRRIEMUIR AGCM,,3023660,51.913078,-110.358915,711.000,GovAB,CA,AUTO,Alberta
CPZL,LATHOM AGCM,,3033770,50.600290,-112.298903,810.000,GovAB,CA,AUTO,Alberta
CPZN,PINHORN AGCM,,3045100,49.028895,-111.025017,1061.000,GovAB,CA,AUTO,Alberta
CPZW,WARNER AGCM,,3046951,49.282792,-112.160296,1004.000,GovAB,CA,AUTO,Alberta
CTAG,FORT FRANCES RCS,71962,6022474,48.651180,-93.438960,345.200,MSC,CA,AUTO,Ontario
CTBF,BRANTFORD AIRPORT,71602,6140942,43.137500,-80.331389,253.000,MSC,CA,AUTO,Ontario
CTBO,BROCKVILLE CLIMATE,71161,6100970,44.634000,-75.753000,120.400,MSC,CA,AUTO,Ontario
CTBT,BEATRICE CLIMATE,71694,6110607,45.136000,-79.399000,299.200,MSC,CA,AUTO,Ontario
CTCK,MOOSE CREEK WELLS,71635,6105397,45.251110,-74.962800,85.500,MSC,CA,AUTO,Ontario
CTGT,GUELPH TURFGRASS,71833,6143089,43.547000,-80.214800,331.000,MSC,CA,AUTO,Ontario
CTKG,KINGSTON CLIMATE,71820,6104142,44.218000,-76.595000,120.000,MSC,CA,AUTO,Ontario
CTKR,KENORA RCS,71151,6034073,49.790600,-94.361500,412.700,MSC,CA,AUTO,Ontario
CTLS,LAKE SUPERIOR PROVINCIAL PARK,71640,6054425,47.723175,-84.813978,400.274,MSC,CA,AUTO,Ontario
CTMS,TIMMINS CLIMATE,71193,6078282,48.568000,-81.378000,294.400,MSC,CA,AUTO,Ontario
CTNK,ALGONQUIN PARK EAST GATE,71581,6080192,45.536000,-78.263000,397.000,MSC,CA,AUTO,Ontario
CTPM,PEMBROKE,71196,6106367,45.860300,-77.252500,161.000,MSC,CA,AUTO,Ontario
CTPQ,PETERBOROUGH TRENT U,71672,6166456,44.351000,-78.295000,223.000,MSC,CA,AUTO,Ontario
CTRA,RAWSON LAKE (AUT),71855,6036907,49.664200,-93.732800,435.000,MSC,CA,AUTO,Ontario
CTSB,SUDBURY CLIMATE,71733,6068145,46.632400,-80.796000,348.000,MSC,CA,AUTO,Ontario
CTTR,TOBERMORY RCS,71767,6128330,45.224000,-81.635000,219.500,MSC,CA,AUTO,Ontario
CTUX,UXBRIDGE WEST,71932,6159123,44.098100,-79.163700,333.000,MSC,CA,AUTO,Ontario
CTWL,WELLAND-PELHAM,71752,6139449,42.973222,-79.324945,186.000,MSC,CA,AUTO,Ontario
CTXR,EARLTON CLIMATE,71213,6072230,47.697500,-79.852000,243.400,MSC,CA,AUTO,Ontario
CTZE,GORE BAY CLIMATE,71956,6092920,45.885000,-82.571000,188.600,MSC,CA,AUTO,Ontario
CTZN,NORTH BAY AIRPORT,73016,6085695,46.372730,-79.423570,369.000,MSC,CA,AUTO,Ontario
CTZR,SARNIA CLIMATE,71746,6127519,42.995111,-82.307500,189.000,MSC,CA,AUTO,Ontario
CVAS,ASHCROFT,71681,1160515,50.708300,-121.281400,327.000,MSC,CA,AUTO,British Columbia
CVBB,DELTA BURNS BOG,71042,1102415,49.125800,-123.002200,3.100,MSC,CA,AUTO,British Columbia
CVBD,BELLA COOLA AIRPORT,71533,1060844,52.388611,-126.586944,35.700,MSC,CA,AUTO,British Columbia
CVBR,BURWASH AIRPORT AUTO,71195,2100184,61.370100,-139.031700,805.500,MSC,CA,AUTO,Yukon
CVCL,CULTUS LAKE,,1102221,49.078889,-121.978611,45.700,MSC,CA,AUTO,British Columbia
CVCW,CLEARWATER AUTO,71645,1161650,51.650000,-120.066700,438.000,MSC,CA,AUTO,British Columbia
CVFN,FORT NELSON,71594,1192948,58.841389,-122.574167,378.900,MSC,CA,AUTO,British Columbia
CVFS,FORT ST JAMES AUTO,71933,1092975,54.455300,-124.285600,688.000,MSC,CA,AUTO,British Columbia
CVGE,GOLDEN AIRPORT,71905,1173220,51.300222,-116.984333,785.000,MSC,CA,AUTO,British Columbia
CVKU,KELOWNA UBCO,71644,1123996,49.940600,-119.400000,456.000,MSC,CA,AUTO,British Columbia
CVLY,LYTTON RCS,71765,1114746,50.224400,-121.581900,225.000,MSC,CA,AUTO,British Columbia
CVME,MERRITT,71557,1125073,50.112500,-120.778100,591.000,MSC,CA,AUTO,British Columbia
CVOC,WHISTLER - NESTERS,71687,1100875,50.128900,-122.954600,661.800,MSC,CA,AUTO,British Columbia
CVOD,CALLAGHAN VALLEY,71688,1101300,50.143900,-123.110600,884.000,MSC,CA,AUTO,British Columbia
CVOM,PORT MELLON,71605,1046332,49.526300,-123.496200,125.100,MSC,CA,AUTO,British Columbia
CVOO,NORTH COWICHAN,71927,1015630,48.824200,-123.718300,44.800,MSC,CA,AUTO,British Columbia
CVOP,POWELL RIVER,71720,1046392,49.834600,-124.496800,127.000,MSC,CA,AUTO,British Columbia
CVOQ,QUALICUM BEACH AIRPORT,71766,1026562,49.337222,-124.393889,58.200,MSC,CA,AUTO,British Columbia
CVOU,SECHELT AUT,71638,1047172,49.458000,-123.715300,89.200,MSC,CA,AUTO,British Columbia
CVPE,HOPE AIRPORT,71114,1113543,49.369800,-121.493500,39.000,MSC,CA,AUTO,British Columbia
CVPX,PRINCE GEORGE MASSEY AUTO,,1096454,53.900000,-122.790900,601.000,MSC,CA,AUTO,British Columbia
CVQZ,QUESNEL AIRPORT AUTO,71779,1096631,53.026700,-122.506400,545.000,MSC,CA,AUTO,British Columbia
CVRA,REVELSTOKE AIRPORT AUTO,71882,1176755,50.958222,-118.176277,446.200,MSC,CA,AUTO,British Columbia
CVSL,OOTSA LAKE SKINS LAKE,71679,1085836,53.771900,-125.996700,861.000,MSC,CA,AUTO,British Columbia
CVTF,TSAWWASSEN FERRY AUTO,,1108291,49.003900,-123.133300,7.300,MSC,CA,AUTO,British Columbia
CVTS,SATURNA CAPMON,71914,1017099,48.775000,-123.128100,182.000,MSC,CA,AUTO,British Columbia
CVVR,VANCOUVER SEA ISLAND CCG,71608,1108380,49.182500,-123.187200,2.110,MSC,CA,AUTO,British Columbia
CVXC,CRANBROOK AIRPORT AUTO,71660,1152106,49.617611,-115.789055,926.000,MSC,CA,AUTO,British Columbia
CVXS,PRINCE GEORGE AIRPORT AUTO,71302,1096453,53.888900,-122.671900,680.000,MSC,CA,AUTO,British Columbia
CVXY,WHITEHORSE AUTO,71773,2101310,60.733100,-135.097800,707.000,MSC,CA,AUTO,Yukon
CVYD,SMITHERS AIRPORT AUTO,71268,1077501,54.824300,-127.189000,516.300,MSC,CA,AUTO,British Columbia
CVZP,SANDSPIT AIRPORT AUTO,71101,1057051,53.249444,-131.813138,6.400,MSC,CA,AUTO,British Columbia
CVZY,MACKENZIE AIRPORT AUTO,71944,1184793,55.305300,-122.862200,694.000,MSC,CA,AUTO,British Columbia
CWAE,CWAE,,1048899,50.166670,-122.900000,657.800,NAV CANADA,NC-HWOS,MAN,British Columbia
CWAF,ILE ROUGE,71426,7043BP9,48.068900,-69.555600,5.900,MSC,CA,AUTO,Quebec
CWAG,LA SCIE,71337,8402520,49.912800,-55.671300,192.500,MSC,CA,AUTO,Newfoundland and Labrador
CWAJ,ERIEAU (AUT),71465,613KLLM,42.256900,-81.908700,175.500,MSC,CA,AUTO,Ontario
CWAQ,CORONACH SPC,71516,40318MN,49.050000,-105.483300,756.000,MSC,CA,AUTO,Saskatchewan
CWAS,HOWE SOUND - PAM ROCKS,71211,10459NN,49.487900,-123.299500,7.100,MSC,CA,AUTO,British Columbia
CWAV,SUNDRE A,71248,3026KNQ,51.778100,-114.682500,1114.400,MSC,CA,AUTO,Alberta
CWAY,MOULD BAY CS,71989,250M001,76.237500,-119.347200,2.500,MSC,CA,AUTO,Northwest Territories
CWBA,BARRAGE TEMISCAMINGUE,71732,7080468,46.709700,-79.101100,181.400,MSC,CA,AUTO,Quebec
CWBD,INDIAN HEAD CDA,71515,4013480,50.550000,-103.650000,579.100,MSC,CA,AUTO,Saskatchewan
CWBE,KILLARNEY (AUT),71460,605DJ25,45.966700,-81.483300,196.300,MSC,CA,AUTO,Ontario
CWBJ,INNER WHALEBACKS,71162,2202560,61.920700,-113.725713,166.500,MSC,CA,AUTO,Northwest Territories
CWBK,CARIBOU POINT (AUT),71415,8200774,45.764300,-62.680539,2.400,MSC,CA,AUTO,Nova Scotia
CWBM,BEAVERLODGE RCS,71230,3070600,55.196700,-119.396400,746.600,MSC,CA,AUTO,Alberta
CWBO,BROOKS,71457,3030QLP,50.555500,-111.849000,746.800,MSC,CA,AUTO,Alberta
CWBT,LONGUE-POINTE-DE-MINGAN,71512,7044328,50.271500,-64.226500,11.000,MSC,CA,AUTO,Quebec
CWBU,NIPAWIN,71312,407N51G,53.332300,-104.003100,371.900,MSC,CA,AUTO,Saskatchewan
CWBV,BEAVER ISLAND (AUT),71403,8200558,44.824800,-62.337900,16.000,MSC,CA,AUTO,Nova Scotia
CWBY,PORT-MENIER,71810,7056202,49.838722,-64.293222,53.200,MSC,CA,AUTO,Quebec
CWBZ,ST-ANICET 1,71712,702FQLF,45.120800,-74.289500,49.100,MSC,CA,AUTO,Quebec
CWCF,BERENS RIVER CS,71158,5030203,52.359700,-97.022000,221.900,MSC,CA,AUTO,Manitoba
CWCH,ATIKOKAN (AUT),71747,6020LPQ,48.761100,-91.628100,389.810,MSC,CA,AUTO,Ontario
CWCI,CARIBOU ISLAND (AUT),71433,6041222,47.339430,-85.826017,189.000,MSC,CA,AUTO,Ontario
CWCJ,PUKASKWA (AUT),71750,6046768,48.607722,-86.287361,192.600,MSC,CA,AUTO,Ontario
CWCO,COLLINGWOOD,71270,6111792,44.505500,-80.221600,179.800,MSC,CA,AUTO,Ontario
CWCT,CORONATION CLIMATE,71318,3011887,52.074200,-111.449400,791.000,MSC,CA,AUTO,Alberta
CWDA,ENGLEE (AUT),71417,8401538,50.721100,-56.112800,27.500,MSC,CA,AUTO,Newfoundland and Labrador
CWDC,URANIUM CITY (AUT),71076,406QLD0,59.566700,-108.483300,318.200,MSC,CA,AUTO,Saskatchewan
CWDE,LAC BENOIT,71520,706I001,51.532400,-71.110400,549.000,MSC,CA,AUTO,Quebec
CWDI,BADGER (AUT),71400,8400301,48.966700,-56.066700,104.900,MSC,CA,AUTO,Newfoundland and Labrador
CWDJ,REGINA RCS,71514,4016699,50.426913,-104.670158,577.300,MSC,CA,AUTO,Saskatchewan
CWDK,CLARESHOLM,71234,3031640,50.003600,-113.640600,1012.000,MSC,CA,AUTO,Alberta
CWDM,CHEVERY,71814,7041382,50.464888,-59.639556,7.700,MSC,CA,AUTO,Quebec
CWDO,TWILLINGATE (AUT),71402,8404025,49.683300,-54.800000,92.300,MSC,CA,AUTO,Newfoundland and Labrador
CWDP,MANOUANE EST,71521,706I155,50.656472,-70.532028,497.000,MSC,CA,AUTO,Quebec
CWDQ,LA TUQUE,71378,707DBD4,47.244000,-72.471500,168.900,MSC,CA,AUTO,Quebec
CWDR,DISCOVERY ISLAND,71031,1012475,48.424600,-123.225833,18.900,MSC,CA,AUTO,British Columbia
CWDT,CHUTE-DES-PASSES,71522,7061541,49.840138,-71.168333,398.100,MSC,CA,AUTO,Quebec
CWDU,COP UPPER,71235,3031875,51.076200,-114.222500,1235.000,MSC,CA,AUTO,Alberta
CWDV,UPSALA (AUT),71435,6049095,49.036000,-90.461300,485.500,MSC,CA,AUTO,Ontario
CWDW,ST ANTHONY,71558,8403399,51.383300,-56.100000,29.300,MSC,CA,AUTO,Newfoundland and Labrador
CWDZ,DRUMHELLER EAST,71237,30221LG,51.445100,-112.675800,678.200,MSC,CA,AUTO,Alberta
CWEA,PINAWA,71448,503B1ER,50.177200,-96.064700,268.000,MSC,CA,AUTO,Manitoba
CWEB,ESTEVAN POINT CS,71894,1032731,49.383200,-126.544700,7.010,MSC,CA,AUTO,British Columbia
CWEC,WELCOME ISLAND (AUT),71751,6049443,48.369200,-89.119400,210.600,MSC,CA,AUTO,Ontario
CWEE,CHAMOUCHOUANE,71523,7061288,49.278305,-73.355861,303.800,MSC,CA,AUTO,Quebec
CWEF,ST PAUL ISLAND (AUT),71418,8204909,47.226333,-60.139972,26.200,MSC,CA,AUTO,Nova Scotia
CWEH,EASTEND CYPRESS (AUT),71131,4032322,49.437800,-108.988600,1079.600,MSC,CA,AUTO,Saskatchewan
CWEI,MELITA,71447,501A7AR,49.281300,-100.986400,445.900,MSC,CA,AUTO,Manitoba
CWEK,GREY ISLET (AUT),71476,1063303,54.580300,-130.697800,9.500,MSC,CA,AUTO,British Columbia
CWEL,ENTRANCE ISLAND,71772,1022689,49.208714,-123.810565,9.600,MSC,CA,AUTO,British Columbia
CWEO,LAC EON,71421,704C64L,51.867361,-63.283250,588.900,MSC,CA,AUTO,Quebec
CWEP,EAST POINT (AUT),71412,8300418,46.459533,-61.987714,7.700,MSC,CA,AUTO,Prince Edward Island
CWEQ,SWAN RIVER RCS,71443,504K80K,52.115138,-101.232833,334.800,MSC,CA,AUTO,Manitoba
CWER,ILE D'ORLEANS,71424,70132G9,46.996700,-70.808300,5.200,MSC,CA,AUTO,Quebec
CWEU,CWEU,71917,2401208,79.994450,-85.811940,10.400,NAV CANADA,NC-AWOS,AUTO,Nunavut
CWEU,CWEU,71917,2401203,79.994450,-85.811940,10.400,NAV CANADA,NC-HWOS,MAN,Nunavut
CWEW,L'ASSOMPTION,71524,7014160,45.809400,-73.434800,21.000,MSC,CA,AUTO,Quebec
CWEX,EMERSON AUTO,71560,5020881,49.000000,-97.237500,243.500,MSC,CA,AUTO,Manitoba
CWEZ,SATURNA ISLAND,71473,1017101,48.783900,-123.045555,24.410,MSC,CA,AUTO,British Columbia
CWFD,CAPE DYER,71094,2400650,66.665560,-61.358890,725.000,DND,DND-AWOS,AUTO,Nunavut
CWFE,ELK ISLAND NAT PARK,71238,3012275,53.682619,-112.868105,714.850,MSC,CA,AUTO,Alberta
CWFF,MELFORT,71456,4055079,52.816300,-104.596400,490.000,MSC,CA,AUTO,Saskatchewan
CWFG,SARTINE ISLAND (AUT),71478,1037090,50.819384,-128.906201,103.450,MSC,CA,AUTO,British Columbia
CWFJ,CARDSTON,71153,3031322,49.200800,-113.285900,1136.000,MSC,CA,AUTO,Alberta
CWFO,FLIN FLON,71954,5050919,54.678111,-101.679138,305.400,MSC,CA,AUTO,Manitoba
CWFP,NAIN,71665,8502799,56.550000,-61.683300,7.600,MSC,CA,AUTO,Newfoundland and Labrador
CWFQ,FRELIGHSBURG,71373,7022579,45.039583,-72.856117,224.000,MSC,CA,AUTO,Quebec
CWFW,BAIE-COMEAU,71829,704S001,49.259200,-68.145800,129.500,MSC,CA,AUTO,Quebec
CWFX,COLVILLE LAKE,71055,2200824,67.021261,-126.123177,272.300,MSC,CA,AUTO,Northwest Territories
CWFZ,FORT RELIANCE (AUT),71160,2201903,62.711400,-109.168300,168.800,MSC,CA,AUTO,Northwest Territories
CWGB,BALLENAS ISLAND,71769,1020590,49.350544,-124.160498,14.510,MSC,CA,AUTO,British Columbia
CWGD,GODERICH,71261,6122847,43.764777,-81.712278,226.000,MSC,CA,AUTO,Ontario
CWGF,GARDEN RIVER,71253,307KPFP,58.710800,-113.866500,242.000,MSC,CA,AUTO,Alberta
CWGH,GRENADIER ISLAND,71281,6103024,44.455000,-75.862000,83.500,MSC,CA,AUTO,Ontario
CWGL,LAGOON CITY,71282,6114295,44.548000,-79.221000,210.000,MSC,CA,AUTO,Ontario
CWGM,WATERTON PARK GATE,71154,3056214,49.131100,-113.808600,1296.000,MSC,CA,AUTO,Alberta
CWGN,GRETNA (AUT),71441,5021220,49.030800,-97.560000,254.100,MSC,CA,AUTO,Manitoba
CWGP,PEMBERTON AIRPORT,71777,1086082,50.305556,-122.733889,204.300,MSC,CA,AUTO,British Columbia
CWGR,ILES DE LA MADELEINE,71710,7053KGR,47.425194,-61.774667,7.600,MSC,CA,AUTO,Quebec
CWGT,SISTERS ISLAND,71781,1027403,49.486600,-124.434900,20.000,MSC,CA,AUTO,British Columbia
CWGW,SPARWOOD CS,71782,1157631,49.745000,-114.883900,1137.700,MSC,CA,AUTO,British Columbia
CWGX,GILLAM,71912,5060999,56.358900,-94.704200,146.800,MSC,CA,AUTO,Manitoba
CWGY,ESTHER 1,71240,301B460,51.669700,-110.206100,707.000,MSC,CA,AUTO,Alberta
CWGZ,CWGZ,,2402360,76.425840,-82.908060,42.700,NAV CANADA,NC-AWOS,AUTO,Nunavut
CWGZ,CWGZ,,2402338,76.425840,-82.908060,42.700,NAV CANADA,NC-HWOS,MAN,Nunavut
CWHC,VANCOUVER HARBOUR CS,71201,1108446,49.295400,-123.121900,2.500,MSC,CA,AUTO,British Columbia
CWHI,THREE HILLS,71249,3026479,51.767523,-113.205582,857.000,GovAB,CA,AUTO,Alberta
CWHL,HOLLAND ROCK,71219,1063496,54.172300,-130.361000,6.500,MSC,CA,AUTO,British Columbia
CWHN,JIMMY LAKE AWOS,71023,4063623,54.908300,-109.962000,637.100,DND,RA,AUTO,Saskatchewan
CWHO,HOPEDALE (AUT),71900,8502400,55.450000,-60.216700,10.100,MSC,CA,AUTO,Newfoundland and Labrador
CWHP,HEATH POINT,71423,7053038,49.085300,-61.700600,7.500,MSC,CA,AUTO,Quebec
CWHQ,DESCHAMBAULT,71389,7011983,46.690600,-71.971700,61.000,MSC,CA,AUTO,Quebec
CWHT,HAINES JUNCTION,71505,2100630,60.772502,-137.580277,595.300,MSC,CA,AUTO,Yukon
CWHV,BEAUCEVILLE,71323,7028754,46.205000,-70.785000,229.200,MSC,CA,AUTO,Quebec
CWIC,ISACHSEN (AUT),71074,2402604,78.792200,-103.554400,59.500,MSC,CA,AUTO,Nunavut
CWID,FORT PROVIDENCE,71087,2201799,61.316900,-117.601900,162.900,MSC,CA,AUTO,Northwest Territories
CWIG,ILE AUX GRUES,,701LBPH,47.073600,-70.533100,18.300,MSC,CA,AUTO,Quebec
CWII,VICTORIA BEACH (AUT),71552,5032951,50.700000,-96.566700,220.100,MSC,CA,AUTO,Manitoba
CWIJ,LUPIN CS,71470,230N002,65.755300,-111.245800,489.700,MSC,CA,AUTO,Nunavut
CWIK,BROADVIEW,71861,4010879,50.368100,-102.570800,599.800,MSC,CA,AUTO,Saskatchewan
CWIL,HAT ISLAND,71084,2302370,68.318060,-100.086900,36.000,DND,DND-AWOS,AUTO,Nunavut
CWIS,CHARLEVOIX (MRC),71319,7041312,47.284100,-70.637061,722.740,MSC,CA,AUTO,Quebec
CWIT,STE-CLOTILDE,71614,7027039,45.167222,-73.678889,53.000,MSC,CA,AUTO,Quebec
CWIW,WATROUS EAST,71511,4018642,51.666700,-105.400000,525.600,MSC,CA,AUTO,Saskatchewan
CWIX,MISTOOK,71381,7065012,48.598333,-71.715944,112.500,MSC,CA,AUTO,Quebec
CWIZ,L 'ACADIE,71372,702LED4,45.294000,-73.349800,43.800,MSC,CA,AUTO,Quebec
CWJB,STE-FOY (U. LAVAL),71392,701Q004,46.780300,-71.287500,91.400,MSC,CA,AUTO,Quebec
CWJC,ENNADAI LAKE (AUT),71923,2301102,61.131900,-100.883900,354.200,MSC,CA,AUTO,Nunavut
CWJD,GRAND RAPIDS (AUT),71858,5031A10,53.186400,-99.267800,226.000,MSC,CA,AUTO,Manitoba
CWJH,SOUTHEND,71451,4067655,56.337577,-103.286702,344.100,MSC,CA,AUTO,Saskatchewan
CWJI,ASSINIBOIA AIRPORT,71487,4020286,49.729200,-105.946100,725.500,MSC,CA,AUTO,Saskatchewan
CWJL,FORT LIARD,71497,2201579,60.235775,-123.472672,214.400,MSC,CA,AUTO,Northwest Territories
CWJN,HERSCHEL ISLAND,71501,2100636,69.567788,-138.911241,2.400,MSC,CA,AUTO,Yukon
CWJO,JONQUIERE,71617,7063370,48.425033,-71.142503,135.600,MSC,CA,AUTO,Quebec
CWJR,CRESTON CAMPBELL SCIENTIFIC,71770,114B1F0,49.081900,-116.500600,646.210,MSC,CA,AUTO,British Columbia
CWJT,ST-JOVITE,71376,703GDKB,46.080222,-74.555805,238.500,MSC,CA,AUTO,Quebec
CWJU,LANGARA ISLAND RCS,71903,1054503,54.255300,-133.058300,49.000,MSC,CA,AUTO,British Columbia
CWJV,VERNON AUTO,71115,1128582,50.223300,-119.193600,482.000,MSC,CA,AUTO,British Columbia
CWJW,JASPER WARDEN,71486,3053536,52.926550,-118.029733,1020.000,MSC,CA,AUTO,Alberta
CWJX,LEADER AIRPORT,71459,402DAF0,50.909500,-109.501400,675.500,MSC,CA,AUTO,Saskatchewan
CWKA,GRIEF POINT,,1043304,49.804600,-124.525200,10.000,MSC,CA,AUTO,British Columbia
CWKB,CORNER BROOK,71973,8401298,48.933300,-57.916700,151.800,MSC,CA,AUTO,Newfoundland and Labrador
CWKD,BONNARD 1,71383,7060826,50.728900,-71.013100,498.000,MSC,CA,AUTO,Quebec
CWKF,LILLOOET,71999,1114619,50.683700,-121.934100,239.900,MSC,CA,AUTO,British Columbia
CWKG,KEJIMKUJIK 1,71599,8202592,44.432200,-65.203100,125.900,MSC,CA,AUTO,Nova Scotia
CWKH,MALAHAT,71774,1014820,48.574900,-123.529900,365.760,MSC,CA,AUTO,British Columbia
CWKO,ROCKGLEN (AUT),71135,4036844,49.167800,-105.979200,917.000,MSC,CA,AUTO,Saskatchewan
CWKV,CWKV,,1113582,49.283300,-121.233000,687.800,NAV CANADA,NC-HWOS,MAN,British Columbia
CWKX,DEASE LAKE (AUT),71222,119BLM0,58.425800,-130.025600,800.665,MSC,CA,AUTO,British Columbia
CWLB,LAC LA BICHE CLIMATE,71316,3063686,54.768900,-112.023600,568.600,MSC,CA,AUTO,Alberta
CWLC,LUCY ISLAND LIGHTSTATION,71220,1064728,54.295900,-130.609000,26.200,MSC,CA,AUTO,British Columbia
CWLE,LUCKY LAKE,71455,4024714,50.950000,-107.150000,664.700,MSC,CA,AUTO,Saskatchewan
CWLG,LITTLE CHICAGO,71164,220B6Q3,67.179200,-130.228100,63.700,MSC,CA,AUTO,Northwest Territories
CWLI,LIVERPOOL BAY,71960,220B68C,69.604670,-130.892870,102.000,DND,DND-AWOS,AUTO,Northwest Territories
CWLJ,MEADOW LAKE,71970,406N0NM,54.133300,-108.516700,481.000,MSC,CA,AUTO,Saskatchewan
CWLM,VICTORIA GONZALES CS,71200,1018611,48.413302,-123.324775,69.000,MSC,CA,AUTO,British Columbia
CWLP,HERBERT ISLAND (AUT),71485,1063461,50.939900,-127.632200,14.200,MSC,CA,AUTO,British Columbia
CWLS,MOUNT FOREST,71631,6145504,43.989000,-80.745000,422.000,MSC,CA,AUTO,Ontario
CWLV,WASKESIU LAKE,71454,4068559,53.916700,-106.066700,569.400,MSC,CA,AUTO,Saskatchewan
CWLY,CWLY,71812,1114738,50.233330,-121.566670,225.000,NAV CANADA,NC-AWOS,AUTO,British Columbia
CWME,CATHEDRAL POINT (AUT),71482,1061458,52.187475,-127.471103,25.700,MSC,CA,AUTO,British Columbia
CWMI,MISCOU ISLAND (AUT),71719,8103050,48.008900,-64.494200,5.000,MSC,CA,AUTO,New Brunswick
CWMJ,MANIWAKI AIRPORT,71721,7034482,46.273555,-75.987750,199.700,MSC,CA,AUTO,Quebec
CWMM,PITT MEADOWS CS,71775,1106178,49.208300,-122.690000,5.000,MSC,CA,AUTO,British Columbia
CWMQ,MAPLE CREEK,71453,4024919,49.902500,-109.466100,766.700,MSC,CA,AUTO,Saskatchewan
CWMT,WHATI,71163,2202678,63.134300,-117.244497,271.300,MSC,CA,AUTO,Northwest Territories
CWMX,MILDRED LAKE,71255,3064528,57.040366,-111.560452,311.100,MSC,CA,AUTO,Alberta
CWMZ,WESTERN ISLAND (AUT),71438,6119M51,45.033300,-80.366700,191.100,MSC,CA,AUTO,Ontario
CWNC,COBOURG (AUT),71431,6151684,43.956100,-78.151000,83.000,MSC,CA,AUTO,Ontario
CWND,PELLY ISLAND,71502,2203095,69.622455,-135.435683,18.200,MSC,CA,AUTO,Northwest Territories
CWNE,NORTH CAPE,71987,8300516,47.058208,-63.996956,7.600,MSC,CA,AUTO,Prince Edward Island
CWNH,RIVIERE-DU-LOUP,71715,7056616,47.806100,-69.548500,146.500,MSC,CA,AUTO,Quebec
CWNK,CARMAN U OF M CS,71147,502I001,49.498100,-98.029800,268.200,MSC,CA,AUTO,Manitoba
CWNL,GREAT DUCK ISLAND (AUT),71462,6093005,45.633300,-82.950000,182.000,MSC,CA,AUTO,Ontario
CWNM,NELSON CS,71776,1145M29,49.491400,-117.305300,534.900,MSC,CA,AUTO,British Columbia
CWNO,CWNO,,1186173,56.560700,-122.716900,960.100,NAV CANADA,NC-HWOS,MAN,British Columbia
CWNP,NAKUSP AIRPORT,71216,1145297,50.269444,-117.817222,512.100,MSC,CA,AUTO,British Columbia
CWNQ,NICOLET,71723,7025442,46.225800,-72.657200,8.000,MSC,CA,AUTO,Quebec
CWNR,NAKISKA RIDGETOP,71245,305MGFF,50.943400,-115.191500,2543.000,MSC,CA,AUTO,Alberta
CWNS,NORTHEAST MARGAREE,73027,8204154,46.368540,-60.976110,52.200,MSC,CA,AUTO,Nova Scotia
CWNV,MACMILLAN PASS,71990,2100693,63.243600,-130.037200,1379.000,MSC,CA,AUTO,Yukon
CWNZ,NAGAGAMI (AUT),71832,6075543,49.746800,-84.163700,265.500,MSC,CA,AUTO,Ontario
CWOB,BREVOORT ISLAND,71097,2400565,63.339720,-64.145830,376.000,DND,DND-AWOS,AUTO,Nunavut
CWOC,NEW CARLISLE 1,71619,7055422,48.012027,-65.331611,46.400,MSC,CA,AUTO,Quebec
