node,time,hs,storm
0,2020-02-20 05:00:00,2.4,False
0,2020-02-20 06:00:00,2.3140001,False
0,2020-02-20 07:00:00,2.2280002,False
0,2020-02-20 08:00:00,2.15,False
0,2020-02-20 09:00:00,2.0760002,False
0,2020-02-20 10:00:00,2.0080001,False
0,2020-02-20 11:00:00,1.94,False
0,2020-02-20 12:00:00,1.8740001,False
0,2020-02-20 13:00:00,1.8100001,False
0,2020-02-20 14:00:00,1.7520001,False
0,2020-02-20 15:00:00,1.702,False
0,2020-02-20 16:00:00,1.6580001,False
0,2020-02-20 17:00:00,1.618,False
0,2020-02-20 18:00:00,1.5840001,False
0,2020-02-20 19:00:00,1.5560001,False
0,2020-02-20 20:00:00,1.5320001,False
0,2020-02-20 21:00:00,1.5100001,False
0,2020-02-20 22:00:00,1.4920001,False
0,2020-02-20 23:00:00,1.4760001,False
0,2020-02-21 00:00:00,1.46,False
0,2020-02-21 01:00:00,1.4440001,False
0,2020-02-21 02:00:00,1.4300001,False
0,2020-02-21 03:00:00,1.416,False
0,2020-02-21 04:00:00,1.4020001,False
0,2020-02-21 05:00:00,1.388,False
0,2020-02-21 06:00:00,1.3740001,False
0,2020-02-21 07:00:00,1.36,False
0,2020-02-21 08:00:00,1.3460001,False
0,2020-02-21 09:00:00,1.3540001,False
0,2020-02-21 10:00:00,1.3520001,False
0,2020-02-21 11:00:00,1.3460001,False
0,2020-02-21 12:00:00,1.342,False
0,2020-02-21 13:00:00,1.3360001,False
0,2020-02-21 14:00:00,1.33,False
0,2020-02-21 15:00:00,1.322,False
0,2020-02-21 16:00:00,1.3100001,False
0,2020-02-21 17:00:00,1.2980001,False
0,2020-02-21 18:00:00,1.284,False
0,2020-02-21 19:00:00,1.2720001,False
0,2020-02-21 20:00:00,1.3160001,False
0,2020-02-21 21:00:00,1.6840001,False
0,2020-02-21 22:00:00,1.9800001,False
0,2020-02-21 23:00:00,2.0400002,False
0,2020-02-22 00:00:00,2.048,False
